,Genre,Number of Books
285,Women Sleuths,4165
286,Technothrillers,374
287,Magical Realism,302
288,Fiction,820
289,Movements & Periods,800
290,Criticism & Theory,1864
291,Research,202
292,Communication & Media Studies,387
293,Processes & Infrastructure,59
294,Production & Operations,33
295,Organizational Behavior,17
296,Experiments & Projects,28
297,Birdwatching,45
298,Organic,96
299,Letters & Correspondence,16
300,Poetry,1048
301,European,885
302,Letters,117
303,Spanish,605
304,Criticism,501
305,Lesbian,1039
306,Nature Writing & Essays,165
307,Runaways,108
308,Christmas,412
309,Drama & Theater,27
310,Dragons,192
311,Animals,1382
312,Halloween,303
313,Kindle eBooks,59
314,Dark Fantasy,643
315,Holocaust,400
316,Prejudice & Racism,255
317,Values,381
318,Military & Wars,203
319,Holiday Toy List,18
320,Boats & Ships,46
321,Foreign Language Study & Reference,736
322,Book Industry,26
323,Parents,699
324,Energy Production & Extraction,11
325,Corporate Law,3
326,Company Histories,37
327,Energy,2
328,Motivation & Self-Improvement,312
329,Personal Finance,331
330,Success,635
331,"Health, Fitness & Dieting",571
332,Forensic Psychology,29
333,Murder & Mayhem,450
334,Regency,1454
335,Mathematics,221
336,Programming Languages,214
337,Operating Systems,37
338,Programming,59
339,Software,132
340,New Experiences,553
341,Wizards & Witches,288
342,Illustration,121
343,World War II,630
344,Jewish,532
345,Guides,307
346,Budgeting & Money Management,97
347,Time Management,92
348,War & Military,639
349,Manga,1376
350,Political Science,556
351,Political Freedom,64
352,Journalism & Nonfiction,149
353,Techniques,94
354,Cultural,503
355,Organizational Change,33
356,Structural Adjustment,26
357,Nature Writing,14
358,Aesthetics,61
359,Pictorial,102
360,Travel,808
361,India,119
362,Civilization & Culture,145
363,Psychology,303
364,Occupational & Organizational,37
365,Consumer Behavior,74
366,Social Theory,38
367,Behavioral Psychology,59
368,Crafts & Hobbies,287
369,Activity Books,699
370,Scrapbooking & Stamping,1
371,Buildings,50
372,Cooking Methods,79
373,Race Relations,29
374,Writing Skills,216
375,Gay,1707
376,Alcoholism,48
377,Child Psychology,145
378,Grammar,86
379,Creative Writing & Composition,159
380,Creativity,189
381,Authorship,124
382,Other Media,2
383,Art,473
384,Business of Art,19
385,Individual Artists,526
386,Business & Professional,73
387,Manufacturing,39
388,Quality Control,44
389,Japan,118
390,Exports & Imports,7
391,International Business,29
392,Urban,832
393,Specific Demographics,226
394,France,211
395,Thrillers,775
396,East South Central,8
397,Westerns,1172
398,French,679
399,South America,29
400,Anthropology,259
401,Irish,100
402,Environmentalism,144
403,Conservation,203
404,Rural Life,17
405,Environmentalists & Naturalists,66
406,Caribbean & Latin American,207
407,Novelty,2
408,Great Britain,495
409,"Artists, Architects & Photographers",232
410,African-American Studies,369
411,Entrepreneurship,381
412,Hispanic,138
413,African American,478
414,African-American & Black,277
415,Small Town & Rural,296
416,Criminology,418
417,Customs & Traditions,153
418,Psychology & Counseling,820
419,Feminist Theory,235
420,Leaders & Notable People,18
421,Social Activists,121
422,U.S. Presidents,238
423,Romantic Comedy,2565
424,Gothic,735
425,English Literature,519
426,Historical Romance,810
427,Western,1042
428,Victorian,385
429,Ancient World,55
430,20th Century,474
431,Sports,1118
432,Romantic Suspense,3711
433,Scottish,547
434,Single Women,368
435,Romantic Erotica,1029
436,Medieval,596
437,Fairy Tales,316
438,Mythology & Folk Tales,728
439,Communications,258
440,Dark Horse,501
441,Comics & Graphic Novels,1114
442,Media Tie-In,1265
443,Urban Life,512
444,BDSM,423
445,Pregnancy,43
446,New Adult & College,2682
447,Vampires,1773
448,Werewolves & Shifters,1870
449,Mystery & Suspense,666
450,Heist,123
451,Kidnapping,334
452,Terrorism,580
453,Vigilante Justice,102
454,Metaphysical,54
455,Metaphysical & Visionary,399
456,Motherhood,188
457,Religious,927
458,Tribal & Ethnic,15
459,Asian,441
460,British,280
461,Specialty Boutique,937
462,"Fairy Tales, Folk Tales & Myths",939
463,Music,285
464,Art & Music,71
465,Men's Adventure,205
466,Fairy Tales & Folklore,166
467,Royalty,424
468,Broadway & Musicals,46
469,Musicals,46
470,Songbooks,38
471,Voice,50
472,Stagecraft,22
473,Media Tie-In & Adaptations,433
474,Theology,421
475,New Thought,169
476,Occult & Paranormal,307
477,Mental & Spiritual Healing,169
478,Other Eastern Religions & Sacred Texts,64
479,Hinduism,41
480,Bhagavad Gita,10
481,Inspirational & Religious,118
482,Happiness,369
483,Rituals & Practice,73
484,Cosmology,140
485,Philosophy,629
486,Astrophysics & Space Science,119
487,Historical Study & Educational Resources,444
488,Shakespeare,269
489,Cozy,1083
490,Spies & Politics,292
491,"Herbs, Spices & Condiments",40
492,World,1190
493,Literary Fiction,148
494,Thriller,521
495,Sea Stories,224
496,Supernatural,813
497,Cultural Heritage,386
498,Single Authors,572
499,General Humor,655
500,Russian,157
501,Jewish American,22
502,Furniture,9
503,Short Stories & Anthologies,55
504,Gay Fiction,804
505,Lesbian Fiction,124
506,African,236
507,Bible Study,173
508,Upanishads,4
509,Indian,96
510,Screenwriting,78
511,Native American,309
512,Mammals,249
513,Asia,453
514,Gothic & Romantic,80
515,Detective,150
516,Christian,637
517,LGBT,417
518,Gardening & Landscape Design,29
519,Chapter Books,658
520,19th Century,133
521,Horses,272
522,"Science, Nature & How It Works",175
523,Erotica,1083
524,Stepfamilies,88
525,Clean & Wholesome,252
526,Law & Crime,216
527,Space Opera,1646
528,Mental Health,213
529,Clinical Psychology,92
530,Self Help,255
531,Africa,284
532,"Psychotherapy, TA & NLP",111
533,Dating & Sex,852
534,School & Education,147
535,Genre Fiction,82
536,World Literature,85
537,Steampunk,214
538,New Experience,82
539,Depression & Mental Illness,154
540,Physical & Emotional Abuse,132
541,Suicide,106
542,Dungeons & Dragons,100
543,Space Marine,198
544,Intermediate Readers,114
545,Homeschooling,70
546,Family Activities,33
547,Parent Participation,31
548,Education Theory,125
549,Home Schooling,28
550,Bullies,145
551,Gay & Lesbian,474
552,Survival & Emergency Preparedness,28
553,Demons & Devils,232
554,Witches & Wizards,518
555,Women in Islam,38
556,Human Geography,116
557,Women's Studies,510
558,Rich & Famous,294
559,Alien Invasion,418
560,First Contact,355
561,Alternate History,309
562,Iraq War,129
563,U.S. Regional,146
564,Cooking,171
565,Parodies,208
566,Homelessness & Poverty,84
567,Mate Seeking,52
568,Asian & Asian American,77
569,Poverty,97
570,Intelligence & Espionage,186
571,Canada,71
572,History & Theory,455
573,Pets,273
574,Dogs,652
575,Penology,6
576,Comedians,37
577,Comedy,257
578,Actors & Actresses,74
579,Exercise & Fitness,70
580,Sports Psychology,31
581,Anatomy,136
582,Other Diets,428
583,Food Science,109
584,Politics & Social Sciences,256
585,Nutrition,228
586,Entertainment,15
587,Popular Culture,652
588,Theatre,57
589,Parenting,351
590,History & Philosophy,507
591,Atheism,66
592,Wildlife,76
593,Brain Cancer,3
594,Fauna,107
595,Ghosts & Hauntings,60
596,Biological Sciences,28
597,Reincarnation,61
598,Spiritualism,139
599,Ghosts & Haunted Houses,9
600,Science & Math,138
601,Science & Religion,84
602,Journalism,54
603,Astral Projection,7
604,Sexuality,193
605,Ethnic & National,220
606,Parenting & Relationships,804
607,Communication,94
608,Creativity & Genius,84
609,Amateur Sleuths,881
610,Cognitive Psychology,293
611,Biology,357
612,Neuroscience,85
613,Memory Improvement,27
614,Philanthropy & Charity,34
615,Funding,16
616,Pakistan,22
617,Non-Governmental Organizations,9
618,India & South Asia,30
619,Film,61
620,Foxes & Wolves,92
621,Pigs,118
622,Trains,41
623,Bears,329
624,Dr. Seuss,81
625,Cats,489
626,Beginner Readers,696
627,Stories In Verse,221
628,Theater,235
629,Essays & Commentary,53
630,Physics,183
631,Science & Scientists,19
632,Netherlands,16
633,Germany,294
634,Christianity,423
635,Life,9
636,Horticulture,13
637,Plants,34
638,Botany,94
639,Ecology,137
640,Sports & Outdoors,294
641,Environmental Science,123
642,Ecotourism,38
643,Excursion Guides,98
644,Instructional,60
645,Forensic Medicine,33
646,Restaurant & Food,27
647,Human Resources,63
648,Agriculture,53
649,Social Work,72
650,"Hospitality, Travel & Tourism",77
651,Running & Jogging,128
652,"Lions, Tigers & Leopards",53
653,Vegetables,165
654,Post-Apocalyptic,585
655,English,30
656,History of Books,28
657,Midwest,88
658,Mid-Atlantic,19
659,Healthy Living,46
660,Diets,19
661,Hoaxes & Deceptions,53
662,Lawyers & Criminals,54
663,Australian,42
664,Cell Biology,21
665,Medical Ethics,30
666,Cancer,57
667,Detectives,53
668,Canadian,213
669,Probability & Statistics,80
670,Econometrics,15
671,Sales & Selling,101
672,Crime & Criminals,240
673,Hispanic American,35
674,Business & Money,233
675,Substance Abuse,140
676,Special Needs,335
677,Apologetics,105
678,Taoism,42
679,New Age & Spirituality,495
680,Jamaica,4
681,Track & Field,45
682,Space Exploration,70
683,Colonization,231
684,Space Fleet,225
685,Discipleship,115
686,Marvel,816
687,Science & Technology,113
688,Psychics,417
689,Cyberpunk,176
690,Buddhism,153
691,Equestrian,31
